,Dates,Country,Confirmed Cases,Deaths,Confirmed Cases (Scaled for purpose of graph)
333,2020-05-30,Antigua and Barbuda,25,3,3.9124227656412556
334,2020-06-02,Antigua and Barbuda,26,3,3.9516133360820653
335,2020-06-05,Antigua and Barbuda,26,3,3.9516133360820653
336,2020-06-08,Antigua and Barbuda,26,3,3.9516133360820653
337,2020-06-11,Antigua and Barbuda,26,3,3.9516133360820653
338,2020-06-14,Antigua and Barbuda,26,3,3.9516133360820653
339,2020-06-17,Antigua and Barbuda,26,3,3.9516133360820653
340,2020-06-20,Antigua and Barbuda,26,3,3.9516133360820653
341,2020-06-23,Antigua and Barbuda,26,3,3.9516133360820653
342,2020-06-26,Antigua and Barbuda,65,3,4.867593616801989
343,2020-06-29,Antigua and Barbuda,69,3,4.927306190998636
344,2020-07-02,Antigua and Barbuda,69,3,4.927306190998636
345,2020-07-05,Antigua and Barbuda,68,3,4.912708947095866
346,2020-07-08,Antigua and Barbuda,70,3,4.941693439113287
347,2020-07-11,Antigua and Barbuda,74,3,4.997257924399904
348,2020-01-22,Argentina,0,0,0.0
349,2020-01-25,Argentina,0,0,0.0
350,2020-01-28,Argentina,0,0,0.0
351,2020-01-31,Argentina,0,0,0.0
352,2020-02-03,Argentina,0,0,0.0
353,2020-02-06,Argentina,0,0,0.0
354,2020-02-09,Argentina,0,0,0.0
355,2020-02-12,Argentina,0,0,0.0
356,2020-02-15,Argentina,0,0,0.0
357,2020-02-18,Argentina,0,0,0.0
358,2020-02-21,Argentina,0,0,0.0
359,2020-02-24,Argentina,0,0,0.0
360,2020-02-27,Argentina,0,0,0.0
361,2020-03-01,Argentina,0,0,0.0
362,2020-03-04,Argentina,1,0,0.881373587019543
363,2020-03-07,Argentina,8,0,2.7764722807237177
364,2020-03-10,Argentina,17,1,3.5272244561999657
365,2020-03-13,Argentina,31,2,4.1273944292716545
366,2020-03-16,Argentina,56,2,4.718578581151767
367,2020-03-19,Argentina,97,3,5.267884728309446
368,2020-03-22,Argentina,266,4,6.276647022592182
369,2020-03-25,Argentina,387,8,6.65157354282284
370,2020-03-28,Argentina,690,18,7.229839303250606
371,2020-03-31,Argentina,1054,27,7.653495134700694
372,2020-04-03,Argentina,1265,39,7.8359747379495595
373,2020-04-06,Argentina,1554,48,8.041734815010791
374,2020-04-09,Argentina,1795,72,8.185907559073271
375,2020-04-12,Argentina,2142,90,8.36264248605566
376,2020-04-15,Argentina,2443,111,8.494129293706015
377,2020-04-18,Argentina,2758,129,8.615408271779541
378,2020-04-21,Argentina,3031,147,8.709795084830228
379,2020-04-24,Argentina,3607,176,8.883778880678808
380,2020-04-27,Argentina,4003,197,8.987946555154107
381,2020-04-30,Argentina,4428,218,9.0888504871389
382,2020-05-03,Argentina,4783,246,9.165970435168205
383,2020-05-06,Argentina,5208,273,9.25109837366553
384,2020-05-09,Argentina,5776,300,9.354613868626123
385,2020-05-12,Argentina,6563,319,9.482350280837773
386,2020-05-15,Argentina,7479,356,9.61300155722105
387,2020-05-18,Argentina,8371,382,9.725675814787676
388,2020-05-21,Argentina,9931,416,9.896563639998163
389,2020-05-24,Argentina,12076,452,10.092122473101002
390,2020-05-27,Argentina,13933,500,10.235162587961344
391,2020-05-30,Argentina,16214,528,10.386777527058552
392,2020-06-02,Argentina,18319,569,10.50884123289037
393,2020-06-05,Argentina,21037,632,10.647185252258875
394,2020-06-08,Argentina,23620,693,10.762996270759404
395,2020-06-11,Argentina,27373,765,10.910459585982705
396,2020-06-14,Argentina,31577,833,11.05333146727438
397,2020-06-17,Argentina,35552,913,11.171898873197096
398,2020-06-20,Argentina,41204,992,11.319437798710782
399,2020-06-23,Argentina,47203,1078,11.45535990954802
400,2020-06-26,Argentina,55343,1184,11.614452642849262
401,2020-06-29,Argentina,62268,1280,11.732350109780164
402,2020-07-02,Argentina,69941,1385,11.848554489095893
403,2020-07-05,Argentina,77815,1507,11.955236674240343
404,2020-07-08,Argentina,87030,1694,12.067155346376511
405,2020-07-11,Argentina,97509,1810,12.180847141004392
406,2020-01-22,Armenia,0,0,0.0
407,2020-01-25,Armenia,0,0,0.0
408,2020-01-28,Armenia,0,0,0.0
409,2020-01-31,Armenia,0,0,0.0
410,2020-02-03,Armenia,0,0,0.0
411,2020-02-06,Armenia,0,0,0.0
412,2020-02-09,Armenia,0,0,0.0
413,2020-02-12,Armenia,0,0,0.0
414,2020-02-15,Armenia,0,0,0.0
